"Last time updated: %1","Last time updated: %1"
"Last time updated: <%= updatedAt %>","Last time updated: <%= updatedAt %>"
"Last Week","Last Week"
"Loading...","Loading..."
"Month","Month"
"No","No"
"Never","Never"
"Newsletter Subscription Option","Newsletter Subscription Option"
"Number Of Orders","Number Of Orders"
"One Step Checkout","One Step Checkout"
"One Step Checkout by Aheadworks","One Step Checkout by Aheadworks"
"One-page checkout is turned off.","One-page checkout is turned off."
"Order Note","Order Note"
"Order Notes Enabled","Order Notes Enabled"
"Orders Revenue","Orders Revenue"
"Payment Method","Payment Method"
"Payment method","Payment method"
"Period","Period"
"Period/Date","Period/Date"
"Period, From-To","Period, From-To"
"Period Type","Period Type"
"Quarter","Quarter"
"Readme","Readme"
"Recurrent Day of Month","Recurrent Day of Month"
"Recurrent Day of Week","Recurrent Day of Week"
"Region/State","Region/State"
"Secure Payment Label","Secure Payment Label"
"Settings","Settings"
"Shipping address","Shipping address"
"Shipping Fields Customization","Shipping Fields Customization"
"Shipping Method","Shipping Method"
"Shipping method","Shipping method"
"Show Delivery Date","Show Delivery Date"
"Show required fields only","Show required fields only"
"Single Day","Single Day"
"Sort Rows","Sort Rows"
"Start Time","Start Time"
"This Month","This Month"
"This section shows completed fields to the total number of abandoned checkouts ratio","This section shows completed fields to the total number of abandoned checkouts ratio"
"This text will be displayed under the section with Trust Seals.","This text will be displayed under the section with Trust Seals."
"Title","Title"
"Today","Today"
"Trust Seal","Trust Seal"
"Trust Seals","Trust Seals"
"Trust Seals Block","Trust Seals Block"
"Unable to retrieve payment methods. Please check input data.","Unable to retrieve payment methods. Please check input data."
"Update","Update"
"Use this report to understand when buyers drop off your checkout. Each section of the report represents how many times a field has been completed across all abandoned checkouts for a given period.","Use this report to understand when buyers drop off your checkout. Each section of the report represents how many times a field has been completed across all abandoned checkouts for a given period."
"Use Coupon Code","Use Coupon Code"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Week","Week"
"Year","Year"
"Yesterday","Yesterday"
"<a target="_blank" href=""https://en.wikipedia.org/wiki/Trust_seal"">Trust seals</a> (security badges) will be displayed under the 'Place Order' button on the checkout page. Up to 3 seals can be added only.","<a target="_blank" href=""https://en.wikipedia.org/wiki/Trust_seal"">Trust seals</a> (security badges) will be displayed under the 'Place Order' button on the checkout page. Up to 3 seals can be added only."
"Please use this date format: mm/dd/yyyy. For example 03/17/2006 for the 17th of March, 2006.","Please use this date format: mm/dd/yyyy. For example 03/17/2006 for the 17th of March, 2006."
"Address Line","Address Line"
"Address Line 2","Address Line 2"
"Already have an account? Login","Already have an account? Login"
"here","here"
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
"First Name","First Name"
"Last Name","Last Name"
"Company","Company"
"Street Address Line","Street Address Line"
"Street Address Line 2","Street Address Line 2"
"City","City"
"Country","Country"
"State/Province","State/Province"
"Zip/Postal Code","Zip/Postal Code"
"Phone Number","Phone Number"
"Name Prefix","Name Prefix"
"Middle Name/Initial","Middle Name/Initial"
"Name Suffix","Name Suffix"
"Fax","Fax"
"VAT Number","VAT Number"
"Apply Gift Card","Apply Gift Card"
"Enter the gift card code","Enter the gift card code"
